2025-01-01,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Nemzetiségi önkormányzat,,,,,,,,,,,,
Helység megnevezése,Helység KSH kódja,Helység jogállása,Vármegye megnevezése,Járás kódja,Járás neve,Járás székhelye,"Polgármesteri hivatal, közös önkormányzati hivatal kódja","Polgármesteri hivatal, közös önkormányzati hivatal székhelye",Terület  (hektár),Lakó-népesség,Lakások száma,Becsült terület-adatokkal,bolgár  ,görög  ,horvát  ,lengyel  ,német  ,örmény  ,roma,román  ,ruszin  ,szerb  ,szlovák  ,szlovén  ,ukrán  
Semjén,23755,község,Borsod-Abaúj-Zemplén,054 0,Cigándi,Cigánd,5 ,Ricse,784,503,163,,,,,,,,1,,,,,,
Semjénháza,30997,község,Zala,195 0,Letenyei,Letenye,2 ,[Helyben],470,519,217,,,,1,,,,,,,,,,
Sénye,14085,község,Zala,198 0,Zalaszentgróti,Zalaszentgrót,5 ,Óhíd,304,67,35,,,,,,,,,,,,,,
Sényő,04491,község,Szabolcs-Szatmár-Bereg,157 0,Nyíregyházi,Nyíregyháza,5 ,Nyírtura,"1,830",1430,510,,,,,,,,,,,,,,
Seregélyes,20206,nagyközség,Fejér,085 0,Székesfehérvári,Székesfehérvár,1 ,–,"7,819",4299,1690,,,,,,,,,,,,,,
Serényfalva,32531,község,Borsod-Abaúj-Zemplén,063 0,Putnoki,Putnok,2 ,[Helyben],"1,964",906,364,,,,,,,,1,,,,,,
Sérsekszőlős,32133,község,Somogy,147 0,Tabi,Tab,5 ,Tab,665,132,61,,,,,,,,,,,,,,
Sikátor,08606,község,Győr-Moson-Sopron,090 0,Pannonhalmi,Pannonhalma,5 ,Tápszentmiklós,"1,373",330,144,,,,,,,,,,,,,,
Siklós,05519,város,Baranya,031 1,Siklósi,Siklós,2 ,[Helyben],"5,092",8603,4092,,,,1,,1,,1,,,1,,,
Siklósbodony,23205,község,Baranya,031 0,Siklósi,Siklós,5 ,Diósviszló,433,146,46,,,,,,,,1,,,,,,
Siklósnagyfalu,08800,község,Baranya,031 0,Siklósi,Siklós,2 ,[Helyben],909,378,118,,,,,,,,1,,,,,,
Sima,23418,község,Borsod-Abaúj-Zemplén,057 0,Gönci,Gönc,5 ,Abaújszántó,488,27,28,,,,,,,,,,,,,,
Simaság,26763,község,Vas,179 0,Sárvári,Sárvár,5 ,Uraiújfalu,"1,013",508,237,,,,,,,,,,,,,,
Simonfa,32780,község,Somogy,143 0,Kaposvári,Kaposvár,2 ,[Helyben],"1,100",367,146,,,,,,,,,,,,,,
Simontornya,20783,város,Tolna,174 0,Tamási,Tamási,1 ,–,"3,383",3557,1844,,,,,,,,1,,,,,,
Sióagárd,25645,község,Tolna,173 0,Szekszárdi,Szekszárd,5 ,Őcsény,"2,440",1202,539,,,,,,1,,,,,,,,
Siófok,17631,város,Somogy,146 1,Siófoki,Siófok,2 ,[Helyben],"12,466",23806,16160,,,,,,1,,1,,,,,,
Siójut,23092,község,Somogy,146 0,Siófoki,Siófok,5 ,Siófok,"1,073",617,265,,,,,,,,,,,,,,
Sirok,08527,község,Heves,109 0,Pétervásárai,Pétervására,2 ,[Helyben],"6,339",1632,963,,,,,,,,1,,,,,,
Sitke,30748,község,Vas,179 0,Sárvári,Sárvár,5 ,Sárvár,"2,720",685,329,,,,,,,,,,,,,,
Sobor,24208,község,Győr-Moson-Sopron,086 0,Csornai,Csorna,5 ,Rábapordány,"1,670",280,143,,,,,,,,,,,,,,
Sokorópátka,12627,község,Győr-Moson-Sopron,087 0,Győri,Győr,5 ,Kajárpéc,"1,685",1113,485,,,,,,,,,,,,,,
Solt,29115,város,Bács-Kiskun,037 0,Kalocsai,Kalocsa,2 ,[Helyben],"13,267",5817,2913,,,,,,,,1,,,,,,
Soltszentimre,18218,község,Bács-Kiskun,039 0,Kiskőrösi,Kiskőrös,5 ,Páhi,"4,449",1298,638,,,,,,,,,,,,,,
Soltvadkert,19983,város,Bács-Kiskun,039 0,Kiskőrösi,Kiskőrös,1 ,–,"10,886",6865,3391,,,,,,1,,1,,,,,,
Sóly,03601,község,Veszprém,191 0,Veszprémi,Veszprém,5 ,Hajmáskér,"1,028",556,202,,,,,,,,,,,,,,
Solymár,07384,nagyközség,Pest,133 0,Pilisvörösvári,Pilisvörösvár,1 ,–,"1,786",10927,4071,,,,,,1,,,,,,,,
Som,04127,község,Somogy,146 0,Siófoki,Siófok,5 ,Ságvár,"2,335",662,265,,,,,,,,,,,,,,
Somberek,23472,község,Baranya,027 0,Mohácsi,Mohács,2 ,[Helyben],"3,142",1289,518,,,,,,1,,,,,,,,
Somlójenő,05157,község,Veszprém,186 0,Devecseri,Devecser,5 ,Somlóvásárhely,815,283,138,,,,,,,,1,,,,,,
Somlószőlős,25779,község,Veszprém,186 0,Devecseri,Devecser,5 ,Somlóvásárhely,"1,945",613,298,,,,,,,,1,,,,,,
Somlóvásárhely,26569,község,Veszprém,186 0,Devecseri,Devecser,2 ,[Helyben],"2,320",984,455,,,,,,,,1,,,,,,
Somlóvecse,14243,község,Veszprém,186 0,Devecseri,Devecser,5 ,Tüskevár,493,77,53,,,,,,,,,,,,,,
Somodor,13824,község,Somogy,143 0,Kaposvári,Kaposvár,5 ,Kaposmérő,"1,991",349,165,,,,,,,,,,,,,,
Somogyacsa,30580,község,Somogy,147 0,Tabi,Tab,5 ,Törökkoppány,"2,446",148,163,,,,,,,,,,,,,,
Somogyapáti,23807,község,Baranya,033 0,Szigetvári,Szigetvár,5 ,Nagypeterd,"1,070",470,198,,,,,,,,1,,,,,,
Somogyaracs,05500,község,Somogy,140 0,Barcsi,Barcs,5 ,Csokonyavisonta,770,178,64,,,,,,,,1,,,,,,
Somogyaszaló,31219,község,Somogy,143 0,Kaposvári,Kaposvár,5 ,Kaposmérő,"2,212",725,286,,,,,,,,,,,,,,
Somogybabod,32470,község,Somogy,142 0,Fonyódi,Fonyód,5 ,Látrány,"1,058",467,220,,,,,,,,,,,,,,
Somogybükkösd,25043,község,Somogy,141 0,Csurgói,Csurgó,5 ,Csurgó,"1,180",81,68,,,,,,,,,,,,,,
Somogycsicsó,11484,község,Somogy,141 0,Csurgói,Csurgó,5 ,Csurgó,"1,238",116,75,,,,,,,,,,,,,,
Somogydöröcske,15981,község,Somogy,147 0,Tabi,Tab,5 ,Törökkoppány,"1,083",134,92,,,,,,,,,,,,,,
Somogyegres,20057,község,Somogy,147 0,Tabi,Tab,5 ,Kapoly,"1,081",160,128,,,,,,,,,,,,,,
Somogyfajsz,18078,község,Somogy,143 0,Kaposvári,Kaposvár,5 ,Somogysárd,"1,826",492,215,,,,,,,,,,,,,,
Somogygeszti,20330,község,Somogy,143 0,Kaposvári,Kaposvár,5 ,Mernye,"2,171",399,192,,,,,,,,1,,,,,,
Somogyhárságy,29142,község,Baranya,033 0,Szigetvári,Szigetvár,5 ,Mozsgó,"3,097",340,211,,,,,,1,,1,,,,,,
Somogyhatvan,25070,község,Baranya,033 0,Szigetvári,Szigetvár,5 ,Nagypeterd,"1,352",304,124,,,,,,,,1,,,,,,
Somogyjád,28963,község,Somogy,143 0,Kaposvári,Kaposvár,2 ,[Helyben],"2,506",1430,562,,,,,,,,1,,,,,,
Somogymeggyes,12876,község,Somogy,147 0,Tabi,Tab,5 ,Kapoly,"1,565",433,229,,,,,,,,,,,,,,
Somogysámson,15626,község,Somogy,144 0,Marcali,Marcali,2 ,[Helyben],"2,177",688,276,,,,,,,,1,,,,,,
Somogysárd,28723,község,Somogy,143 0,Kaposvári,Kaposvár,2 ,[Helyben],"3,636",1175,489,,,,,,,,,,,,,,
Somogysimonyi,27535,község,Somogy,144 0,Marcali,Marcali,5 ,Somogysámson,"1,582",83,53,,,,,,,,,,,,,,
Somogyszentpál,06600,község,Somogy,144 0,Marcali,Marcali,5 ,Pusztakovácsi,"2,896",774,361,,,,,,,,,,,,,,
Somogyszil,03416,község,Somogy,143 0,Kaposvári,Kaposvár,5 ,Igal,"3,846",656,331,,,,,,,,,,,,,,
Somogyszob,18546,község,Somogy,145 0,Nagyatádi,Nagyatád,2 ,[Helyben],"4,008",1372,625,,,,,,,,1,,,,,,
Somogytúr,32601,község,Somogy,142 0,Fonyódi,Fonyód,5 ,Karád,"3,530",441,205,,,,,,,,,,,,,,
Somogyudvarhely,04853,község,Somogy,141 0,Csurgói,Csurgó,2 ,[Helyben],"4,042",914,435,,,,,,,,,,,,,,
Somogyvámos,21856,község,Somogy,142 0,Fonyódi,Fonyód,5 ,Öreglak,"2,502",706,331,,,,,,,,1,,,,,,
Somogyvár,19442,község,Somogy,142 0,Fonyódi,Fonyód,2 ,[Helyben],"5,299",1653,718,,,,,,,,1,,,,,,
Somogyviszló,21281,község,Baranya,033 0,Szigetvári,Szigetvár,5 ,Nagypeterd,"1,263",213,111,,,,,,,,,,,,,,
Somogyzsitfa,04835,község,Somogy,144 0,Marcali,Marcali,5 ,Somogysámson,"2,722",534,297,,,,,,,,,,,,,,
Somoskőújfalu,01526,község,Nógrád,120 0,Salgótarjáni,Salgótarján,2 ,[Helyben],"1,017",2040,1067,,,,,,,,1,,,,,,
Sonkád,23889,község,Szabolcs-Szatmár-Bereg,150 0,Fehérgyarmati,Fehérgyarmat,5 ,Kölcse,"1,981",608,236,,,,,,,,1,,,,,,
Soponya,33321,nagyközség,Fejér,085 0,Székesfehérvári,Székesfehérvár,5 ,Káloz,"4,996",1780,673,,,,,,,,,,,,,,
Sopron,08518,megyei jogú város,Győr-Moson-Sopron,091 1,Soproni,Sopron,1 ,–,"16,904",60820,29825,,,1,1,,1,,,,,,,,
Sopronhorpács,29090,község,Győr-Moson-Sopron,091 0,Soproni,Sopron,2 ,[Helyben],"2,069",877,319,,,,1,,,,,,,,,,
Sopronkövesd,25724,község,Győr-Moson-Sopron,091 0,Soproni,Sopron,2 ,[Helyben],"2,680",1468,571,,,,,,,,,,,,,,
Sopronnémeti,02617,község,Győr-Moson-Sopron,086 0,Csornai,Csorna,5 ,Farád,710,286,117,,,,,,,,,,,,,,
Sorkifalud,07171,község,Vas,181 0,Szombathelyi,Szombathely,2 ,[Helyben],"1,737",628,262,,,,,,,,,,,,,,
Sorkikápolna,27960,község,Vas,181 0,Szombathelyi,Szombathely,5 ,Sorkifalud,886,227,96,,,,,,,,,,,,,,
Sormás,06567,község,Zala,196 0,Nagykanizsai,Nagykanizsa,5 ,Újudvar,"1,637",736,319,,,,,,,,,,,,,,
Sorokpolány,29692,község,Vas,181 0,Szombathelyi,Szombathely,5 ,Sorkifalud,"1,329",751,288,,,,,,,,,,,,,,
Sóshartyán,14881,község,Nógrád,120 0,Salgótarjáni,Salgótarján,5 ,Etes,"1,214",896,300,,,,,,,,1,,,,,,
Sóskút,06840,község,Pest,127 0,Érdi,Érd,2 ,[Helyben],"2,489",3760,1468,,,,,,,,,,,,1,,
Sóstófalva,13268,község,Borsod-Abaúj-Zemplén,061 0,Miskolci,Miskolc,5 ,Hernádkak,728,233,100,,,,,,,,,,,,,,
Sósvertike,31714,község,Baranya,030 0,Sellyei,Sellye,5 ,Sellye,660,145,69,,,,1,,,,1,,,,,,
Sótony,22983,község,Vas,179 0,Sárvári,Sárvár,5 ,Nyőgér,"1,493",588,284,,,,,,,,,,,,,,
Söjtör,19080,község,Zala,197 0,Zalaegerszegi,Zalaegerszeg,2 ,[Helyben],"3,617",1429,613,,,,,,,,1,,,,,,
Söpte,24800,község,Vas,181 0,Szombathelyi,Szombathely,2 ,[Helyben],"1,278",784,280,,,,,,,,,,,,,,
Söréd,02893,község,Fejér,082 0,Móri,Mór,5 ,Magyaralmás,625,558,222,,,,,,,,,,,,,,
Sukoró,14951,község,Fejér,080 0,Gárdonyi,Gárdony,2 ,[Helyben],"1,627",2170,1038,,,,,,,,,,,,,,
Sumony,02547,község,Baranya,032 0,Szentlőrinci,Szentlőrinc,5 ,Királyegyháza,"2,021",396,154,,,,,,,,1,,,,,,
Súr,31990,község,Komárom-Esztergom,111 0,Kisbéri,Kisbér,5 ,Bakonyszombathely,"3,737",1224,500,,,,,,,,,,,,,,
Surd,02404,község,Zala,196 0,Nagykanizsai,Nagykanizsa,2 ,[Helyben],"2,194",529,236,,,,,,,,,,,,,,
Sükösd,21245,nagyközség,Bács-Kiskun,035 0,Bajai,Baja,1 ,–,"9,418",3334,1514,,,,,,,,1,,,,,,
Sülysáp,21713,város,Pest,131 0,Nagykátai,Nagykáta,1 ,–,"4,719",8525,3157,,,,,,,,1,,,,,,
Sümeg,25593,város,Veszprém,188 1,Sümegi,Sümeg,2 ,[Helyben],"6,413",5669,2648,,,,,,,,1,,,,,,
Sümegcsehi,21397,község,Zala,198 0,Zalaszentgróti,Zalaszentgrót,5 ,Óhíd,"1,743",519,262,,,,,,,,,,,,,,
Sümegprága,05388,község,Veszprém,188 0,Sümegi,Sümeg,5 ,Gógánfa,578,567,250,,,,,,,,,,,,,,
Süttő,08688,község,Komárom-Esztergom,110 0,Esztergomi,Esztergom,1 ,–,"3,446",2005,807,,,,,,1,,,,,,,,
Szabadbattyán,28705,nagyközség,Fejér,085 0,Székesfehérvári,Székesfehérvár,1 ,–,"3,366",4779,1785,,,,,,,,,,,,,,
Szabadegyháza,13259,község,Fejér,080 0,Gárdonyi,Gárdony,1 ,–,"4,164",1975,800,,,,,,,,,,,,,,
Szabadhídvég,18740,község,Fejér,079 0,Enyingi,Enying,5 ,Mezőszentgyörgy,"4,410",803,363,,,,,,,,,,,,,,
Szabadi,14854,község,Somogy,143 0,Kaposvári,Kaposvár,5 ,Nagyberki,823,246,121,,,,,,,,,,,,,,
Szabadkígyós,31325,község,Békés,046 0,Békéscsabai,Békéscsaba,1 ,–,"4,556",2283,1086,,,,,,,,,,,,,,
Szabadszállás,25061,város,Bács-Kiskun,043 0,Kunszentmiklósi,Kunszentmiklós,1 ,–,"16,462",5853,3009,,,,,,,,1,,,,,,
Szabadszentkirály,15079,község,Baranya,032 0,Szentlőrinci,Szentlőrinc,5 ,Királyegyháza,"1,269",716,287,,,,,,,,1,,,,,,
Szabás,28574,község,Somogy,145 0,Nagyatádi,Nagyatád,5 ,Kutas,"1,811",556,182,,,,,,,,1,,,,,,
Szabolcs,19169,község,Szabolcs-Szatmár-Bereg,157 0,Nyíregyházi,Nyíregyháza,5 ,Rakamaz,588,318,186,,,,,,,,,,,,,,
Szabolcsbáka,22053,község,Szabolcs-Szatmár-Bereg,153 0,Kisvárdai,Kisvárda,5 ,Gyulaháza,"1,984",1096,433,,,,,,,,,,,,,,
Szabolcsveresmart,03586,község,Szabolcs-Szatmár-Bereg,153 0,Kisvárdai,Kisvárda,2 ,[Helyben],"2,295",1382,545,,,,,,,,1,,,,,,
Szada,21458,nagyközség,Pest,128 0,Gödöllői,Gödöllő,1 ,–,"1,671",6631,2242,,,,,,,,,,,,,,
Szágy,27508,község,Baranya,025 0,Hegyháti,Sásd,5 ,Mindszentgodisa,940,114,61,,,,,,1,,1,,,,,,
Szajk,08475,község,Baranya,024 0,Bólyi,Bóly,5 ,Bóly,"1,136",747,317,,,,1,,1,,,,,,,,
Szajla,16063,község,Heves,109 0,Pétervásárai,Pétervására,5 ,Sirok,870,580,327,,,,,,,,1,,,,,,
Szajol,05874,község,Jász-Nagykun-Szolnok,167 0,Szolnoki,Szolnok,1 ,–,"3,697",3679,1581,,,,,,,,,,,,,,
Szakácsi,32258,község,Borsod-Abaúj-Zemplén,055 0,Edelényi,Edelény,5 ,Szendrőlád,863,215,59,,,,,,,,1,,,,,,
Szakadát,15316,község,Tolna,174 0,Tamási,Tamási,5 ,Gyönk,"1,070",197,146,,,,,,1,,,,,,,,
Szakáld,03805,község,Borsod-Abaúj-Zemplén,068 0,Tiszaújvárosi,Tiszaújváros,5 ,Nemesbikk,"1,140",434,223,,,,,,,,,,,,,,
Szakály,04464,község,Tolna,174 0,Tamási,Tamási,5 ,Hőgyész,"4,102",1164,595,,,,,,,,1,,,,,,
Szakcs,10083,község,Tolna,171 0,Dombóvári,Dombóvár,5 ,Dombóvár,"5,579",696,441,,,,,,,,1,,,,,,
Szakmár,19530,község,Bács-Kiskun,037 0,Kalocsai,Kalocsa,2 ,[Helyben],"7,464",1069,591,,,,,,,,1,,,,,,
Szaknyér,16504,község,Vas,177 0,Körmendi,Körmend,5 ,Ivánc,293,43,44,,,,,,,,,,,,,,
Szakoly,04774,község,Szabolcs-Szatmár-Bereg,155 0,Nagykállói,Nagykálló,1 ,–,"4,145",2549,980,,,,,,,,1,,,,,,
Szakony,11369,község,Győr-Moson-Sopron,091 0,Soproni,Sopron,5 ,Sopronhorpács,"1,350",438,218,,,,,,,,,,,,,,
Szakonyfalu,20932,község,Vas,180 0,Szentgotthárdi,Szentgotthárd,5 ,Alsószölnök,"1,119",310,138,,,,,,,,,,,,,1,
Szákszend,33516,község,Komárom-Esztergom,113 0,Oroszlányi,Oroszlány,5 ,Oroszlány,"3,593",1461,628,,,,,,,,,,,,,,
Szalafő,10223,község,Vas,177 0,Körmendi,Körmend,5 ,Őriszentpéter,"2,737",211,154,,,,,,,,,,,,,,
Szalánta,22257,község,Baranya,028 0,Pécsi,Pécs,2 ,[Helyben],"1,708",1190,421,,,,1,,,,1,,,,,,
Szalapa,20543,község,Zala,198 0,Zalaszentgróti,Zalaszentgrót,5 ,Óhíd,452,155,93,,,,,,,,,,,,,,
Szalaszend,31015,község,Borsod-Abaúj-Zemplén,056 0,Encsi,Encs,2 ,[Helyben],"1,822",1027,366,,,,,,,,1,,,,,,
Szalatnak,09007,község,Baranya,026 0,Komlói,Komló,5 ,Egyházaskozár,"1,028",293,169,,,,,,1,,1,,,,,,
Szálka,14711,község,Tolna,173 0,Szekszárdi,Szekszárd,5 ,Szekszárd,"1,708",581,258,,,,,,1,,,,,,,,
Szalkszentmárton,19947,község,Bács-Kiskun,043 0,Kunszentmiklósi,Kunszentmiklós,1 ,–,"8,208",2825,1314,,,,,,,,,,,,,,
Szalmatercs,19798,község,Nógrád,121 0,Szécsényi,Szécsény,5 ,Endrefalva,758,457,187,,,,,,,,1,,,,,,
Szalonna,16753,község,Borsod-Abaúj-Zemplén,055 0,Edelényi,Edelény,2 ,[Helyben],"2,008",965,404,,,,,,,,1,,,,,,
Szamosangyalos,18005,község,Szabolcs-Szatmár-Bereg,149 0,Csengeri,Csenger,5 ,Csenger,804,489,187,,,,,,,,1,,,,,,
Szamosbecs,22017,község,Szabolcs-Szatmár-Bereg,149 0,Csengeri,Csenger,5 ,Csenger,671,316,166,,,,,,,,,,,,,,
Szamoskér,16300,község,Szabolcs-Szatmár-Bereg,154 0,Mátészalkai,Mátészalka,5 ,Szamosszeg,971,385,183,,,,,,,,,,,,,,
Szamossályi,10436,község,Szabolcs-Szatmár-Bereg,150 0,Fehérgyarmati,Fehérgyarmat,5 ,Nagyszekeres,"1,158",596,316,,,,,,,,,,,,,,
Szamostatárfalva,30085,község,Szabolcs-Szatmár-Bereg,149 0,Csengeri,Csenger,5 ,Csenger,450,293,124,,,,,,,,,,,,,,
Szamosújlak,31273,község,Szabolcs-Szatmár-Bereg,150 0,Fehérgyarmati,Fehérgyarmat,5 ,Tunyogmatolcs,527,344,188,,,,,,,,,,,,,,
Szamosszeg,13046,község,Szabolcs-Szatmár-Bereg,154 0,Mátészalkai,Mátészalka,2 ,[Helyben],"3,530",1653,725,,,,,,,,1,,,,,,
Szanda,13754,község,Nógrád,116 0,Balassagyarmati,Balassagyarmat,5 ,Magyarnándor,"2,148",506,409,,,,,,,,1,,,,,,
Szank,11794,község,Bács-Kiskun,042 0,Kiskunmajsai,Kiskunmajsa,1 ,–,"7,483",2160,1130,,,,,,,,,,,,,,
Szántód,34236,község,Somogy,146 0,Siófoki,Siófok,5 ,Balatonföldvár,791,594,828,,,,,,,,,,,,,,
Szany,08536,nagyközség,Győr-Moson-Sopron,086 0,Csornai,Csorna,2 ,[Helyben],"3,415",2010,974,,,,,,,,1,,,,,,
Szápár,16489,község,Veszprém,192 0,Zirci,Zirc,5 ,Csetény,709,479,192,,,,,,,,,,,,,,
Szaporca,34032,község,Baranya,031 0,Siklósi,Siklós,5 ,Kovácshida,965,192,97,,,,,,,,,,,,,,
Szár,19549,község,Fejér,077 0,Bicskei,Bicske,2 ,[Helyben],"2,263",1718,620,,,,,,1,,,,,,,,
Szárász,07366,község,Baranya,026 0,Komlói,Komló,5 ,Egyházaskozár,598,34,31,,,,,,,,,,,,,,
Szárazd,18263,község,Tolna,174 0,Tamási,Tamási,5 ,Gyönk,779,201,121,,,,,,1,,,,,,,,
Szárföld,15714,község,Győr-Moson-Sopron,088 0,Kapuvári,Kapuvár,2 ,[Helyben],"1,711",1035,432,,,,,,,,,,,,,,
Szárliget,33491,község,Komárom-Esztergom,115 0,Tatabányai,Tatabánya,1 ,–,"1,456",2378,894,,,,,,,,,,,,,,
Szarvas,23870,város,Békés,052 1,Szarvasi,Szarvas,1 ,–,"16,157",14310,7750,,,,,,,,1,,,,1,,
Szarvasgede,10199,község,Nógrád,118 0,Pásztói,Pásztó,5 ,Palotás,999,396,207,,,,,,,,,,,,,,
Szarvaskend,17729,község,Vas,177 0,Körmendi,Körmend,5 ,Molnaszecsőd,"1,034",213,120,,,,,,,,,,,,,,
Szarvaskő,03382,község,Heves,104 0,Egri,Eger,5 ,Egerbakta,"1,259",311,198,,,,,,,,,,,,,,
Szászberek,05777,község,Jász-Nagykun-Szolnok,167 0,Szolnoki,Szolnok,5 ,Besenyszög,"3,922",888,414,,,,,,,,,,,,,,
Szászfa,08147,község,Borsod-Abaúj-Zemplén,067 0,Szikszói,Szikszó,5 ,Selyeb,"1,213",95,82,,,,,,,,,,,,,,
Szászvár,33765,nagyközség,Baranya,026 0,Komlói,Komló,2 ,[Helyben],"2,117",2145,1033,,,,,,1,,1,,,,,,
Szatmárcseke,31237,község,Szabolcs-Szatmár-Bereg,150 0,Fehérgyarmati,Fehérgyarmat,2 ,[Helyben],"3,630",1472,584,,,,,,,,1,,,,,,
Szátok,15325,község,Nógrád,119 0,Rétsági,Rétság,5 ,Kétbodony,895,568,167,,,,,,,,1,,,,,,
Szatta,02440,község,Vas,177 0,Körmendi,Körmend,5 ,Őriszentpéter,601,62,45,,,,,,,,,,,,,,
Szatymaz,12007,község,Csongrád-Csanád,075 0,Szegedi,Szeged,1 ,–,"5,372",4957,2526,,,,,,,,1,,,,,,
Szava,31060,község,Baranya,031 0,Siklósi,Siklós,5 ,Nagyharsány,"1,264",331,128,,,,,,1,,1,,,,,,
Százhalombatta,17312,város,Pest,127 0,Érdi,Érd,1 ,–,"2,806",18115,7841,,,,,,,,,1,,1,,,
Szebény,03018,község,Baranya,027 0,Mohácsi,Mohács,5 ,Palotabozsok,"1,437",288,163,,,,,,1,,,,,,,,
Szécsénke,23047,község,Nógrád,116 0,Balassagyarmati,Balassagyarmat,5 ,Galgaguta,978,191,127,,,,,,,,,,,,,,
Szécsény,06628,város,Nógrád,121 1,Szécsényi,Szécsény,2 ,[Helyben],"4,567",5138,2476,,,,,,,,1,,,,,,
Szécsényfelfalu,33011,község,Nógrád,121 0,Szécsényi,Szécsény,5 ,Endrefalva,822,393,219,,,,,,,,1,,,,,,
Szécsisziget,11554,község,Zala,194 0,Lenti,Lenti,5 ,Lovászi,620,188,105,,,,,,,,,,,,,,
Szederkény,05607,község,Baranya,024 0,Bólyi,Bóly,2 ,[Helyben],"1,433",1650,682,,,,1,,1,,,,,,,,
Szedres,16814,község,Tolna,173 0,Szekszárdi,Szekszárd,1 ,–,"4,631",1934,783,,,,,,,,1,,,,,,
Szeged,33367,"megyeszékhely, megyei jogú város",Csongrád-Csanád,075 1,Szegedi,Szeged,1 ,–,"28,100",157282,88894,,1,1,,1,1,1,1,1,1,1,1,,1
Szegerdő,18607,község,Somogy,144 0,Marcali,Marcali,5 ,Balatonszentgyörgy,546,207,93,,,,,,,,,,,,,,
Szeghalom,21883,város,Békés,053 1,Szeghalmi,Szeghalom,1 ,–,"21,713",7788,3887,,,,,,,,,,,,,,
Szegi,33817,község,Borsod-Abaúj-Zemplén,069 0,Tokaji,Tokaj,5 ,Bodrogkeresztúr,905,310,146,,,,,,,,,,,,,,
Szegilong,31510,község,Borsod-Abaúj-Zemplén,069 0,Tokaji,Tokaj,5 ,Bodrogkeresztúr,694,198,120,,,,,,,,,,,,,,
Szegvár,32489,nagyközség,Csongrád-Csanád,076 0,Szentesi,Szentes,1 ,–,"8,622",3939,2095,,,,,,,,1,,,,,,
Székely,31088,község,Szabolcs-Szatmár-Bereg,152 0,Kemecsei,Kemecse,5 ,Nyírtét,"1,607",1005,346,,,,,,,,1,,,,,,
Székelyszabar,16771,község,Baranya,027 0,Mohácsi,Mohács,5 ,Himesháza,"1,548",515,239,,,,,,1,,,,,,,,
Székesfehérvár,14827,"megyeszékhely, megyei jogú város",Fejér,085 1,Székesfehérvári,Székesfehérvár,1 ,–,"17,089",95241,48799,,,1,1,1,1,1,1,,,1,,,1
Székkutas,12265,község,Csongrád-Csanád,071 0,Hódmezővásárhelyi,Hódmezővásárhely,1 ,–,"12,561",1868,942,,,,,,,,,,,,,,
Szekszárd,22761,"megyeszékhely, megyei jogú város",Tolna,173 1,Szekszárdi,Szekszárd,2 ,[Helyben],"9,628",29337,15984,,,,,,1,,1,,,,,,
Szeleste,33172,község,Vas,179 0,Sárvári,Sárvár,5 ,Bő,"2,075",634,279,,,,,,,,,,,,,,
Szelevény,20428,község,Jász-Nagykun-Szolnok,165 0,Kunszentmártoni,Kunszentmárton,5 ,Tiszasas,"4,539",909,593,,,,,,,,,,,,,,
Szellő,16984,község,Baranya,029 0,Pécsváradi,Pécsvárad,5 ,Erzsébet,596,118,68,,,,,,,,,,,,,,
Szemely,09308,község,Baranya,028 0,Pécsi,Pécs,5 ,Pécsudvard,947,453,192,,,,1,,,,,,,,,,
Szemenye,27997,község,Vas,182 0,Vasvári,Vasvár,5 ,Kám,"1,180",318,188,,,,,,,,,,,,,,
Szemere,09830,község,Borsod-Abaúj-Zemplén,056 0,Encsi,Encs,5 ,Szalaszend,"2,630",402,140,,,,,,,,1,,,,,,
Szendehely,04507,község,Nógrád,119 0,Rétsági,Rétság,2 ,[Helyben],"1,004",1621,671,,,,,,1,,1,,,,,,
Szendrő,08077,város,Borsod-Abaúj-Zemplén,055 0,Edelényi,Edelény,2 ,[Helyben],"5,356",3921,1385,,,,,,,,1,,,,,,
Szendrőlád,27456,község,Borsod-Abaúj-Zemplén,055 0,Edelényi,Edelény,2 ,[Helyben],"1,770",2275,434,,,,,,,,1,,,,,,
Szenna,15103,község,Somogy,143 0,Kaposvári,Kaposvár,5 ,Simonfa,"2,698",752,284,,,,,,,,1,,,,,,
Szenta,11509,község,Somogy,141 0,Csurgói,Csurgó,5 ,Csurgó,"6,447",320,153,,,,,,,,1,,,,,,
Szentantalfa,03568,község,Veszprém,185 0,Balatonfüredi,Balatonfüred,5 ,Zánka,663,520,181,,,,,,1,,,,,,,,
Szentbalázs,25706,község,Somogy,143 0,Kaposvári,Kaposvár,5 ,Baté,"1,214",329,113,,,,,,,,,,,,,,
Szentbékkálla,07092,község,Veszprém,189 0,Tapolcai,Tapolca,5 ,Kővágóörs,"1,070",183,123,,,,,,,,,,,,,,
Szentborbás,32841,község,Somogy,140 0,Barcsi,Barcs,5 ,Darány,747,103,63,,,,1,,,,1,,,,,,
Szentdénes,32009,község,Baranya,032 0,Szentlőrinci,Szentlőrinc,5 ,Királyegyháza,"1,215",303,134,,,,,,,,1,,,,,,
Szentdomonkos,13231,község,Heves,109 0,Pétervásárai,Pétervására,5 ,Tarnalelesz,"1,840",464,208,,,,,,,,1,,,,,,
Szente,09043,község,Nógrád,119 0,Rétsági,Rétság,5 ,Kétbodony,753,285,161,,,,,,,,,,,,,,
